id,item_category,item_type,title,brand,variant,description,why_chosen,life_stage,active,in_starter_kit,buy_url,source_suffix,image_url,image_count,sort,verified,date_added,comments
hard-carrier-trixie,Carrier & outdoor,Carrier,Hard carrier,Trixie,Trixie,"Safe: Reliable quality material
Spacious: To move around
Convenient: Compact & top-open","A reliable hard carrier to safely move your cat, compact but top open for easy in/out transfer.",,FALSE,FALSE,https://headsupfortails.com/products/trixie-capri-2-dog-cat-carrier-21-6-x-14-5-x-13-3-inch-holds-up-to-8-kg?variant=32451363504190,utm_source=whiskerwise&utm_medium=curated-essentials,,2,,TRUE,2026-07-18,
harness-buraq,Carrier & outdoor,Harness,Harness,,Size: Small,"Snug, no-pull harness. Select correct size to ensure it is escape-proof.
Be very careful about taking your cat outdoors.","Understand the risks of taking your cat outdoors. Use a well fitting, escape proof harness like this.",,TRUE,FALSE,https://link.amazon/A0dYGgpvq,,,1,,TRUE,2026-07-18,
litter-box-plastic,Litter,Litter box,Litter box,,Plastic,"Light weight. Requires deep-cleaning, plastic is prone to scratches.
Spacious for regular-sized adult cats.","Affordable, and spacious. Requires regular cleaning for hygiene.",,TRUE,TRUE,https://link.amazon/B0137mzQX,,,2,,TRUE,2026-07-15,
litter-box-steel-plain,Litter,Litter box,Litter box,,Steel,"Durable. Hygenic & easy to clean.
Spacious for regular-sized adult cats.","Hygenic, scratch-proof and spacious.",,TRUE,TRUE,https://link.amazon/B00VykKHx,,,3,,TRUE,2026-07-15,
litter-box-steel-support,Litter,Litter box,Litter box,,Steel with support,"Durable. Hygenic & easy to clean.
Open & apacious for regular-sized adult cats.","Hygenic, scratch-proof and spacious, and the rim keeps a liner from slipping mid-dig.",,FALSE,FALSE,https://link.amazon/B0b4nxzjC,,,2,,TRUE,2026-07-18,
radicate-spot-on,Preventive care,Flea treatment,Spot-on,,Selamectin,"Apply every 30-60 days between your cat's shoulders on the back. This spplication helps treat fleas, flea eggs, ear mites, heart worms, and some intestinal worms.","Effective for relief in frequent scratching due to fleas/tics, black dirt due to ear mites and some varieties of intestinal worms.",Adult,TRUE,TRUE,https://link.amazon/B0dOuSUEX,,,2,,TRUE,2026-07-15,
scratcher-cardboard-wave,Toys & enrichment,Scratcher,Scratcher,,Cardboard - Wave,Scratcher made with corrugated cardboard.,"Encourage scratching in appropriate surfaces. Relieves stress, improves territory security by scent-marking.",,TRUE,TRUE,https://link.amazon/B0aMjEev1,,,2,,TRUE,2026-07-18,
soft-carrier-fofos-backpack,Carrier & outdoor,Carrier,Soft back-pack,Fofos,Fofos,"Safe: Reliable quality of mesh
Spacious: To move around
Convenient: Easy to carry",A sturdy & more convenient option to safely move your cat around. Comfortable for longer journeys.,,FALSE,FALSE,https://shakehands.co.in/products/fofos-backpack-carrier?,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
soft-carrier-trixie-backpack,Carrier & outdoor,Carrier,Soft back-pack,Trixie,Trixie,"Safe: Reliable quality of mesh
Spacious: To move around
Convenient: Easy to carry",A sturdy & more convenient option to safely move your cat around. Comfortable for longer journeys.,,TRUE,FALSE,https://headsupfortails.com/products/trixie-timon-rucksack-holds-up-to-12-kg,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-15,out of stock
toy-tunnel-three-way,Toys & enrichment,Toy,Tunnel,,3-way crinkle tunnel,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.","Cats stalk and hide by instinct, and this gives them somewhere to do it during play.",,TRUE,TRUE,https://link.amazon/B0inZ8qUK,,,3,,TRUE,2026-07-18,
toy-wand-feather-elastic,Toys & enrichment,Toy,Wand toy,,Feather on elastic,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.","Wand toys let you move it like prey, and that is the kind of play that actually tires a cat out.",,TRUE,FALSE,https://link.amazon/B043n5ijq,,,1,,TRUE,2026-07-18,
toy-wand-feather-wire,Toys & enrichment,Toy,Wand toy,,Feather on wire,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.","Wire holds its shape and moves like something alive, so it keeps a cat interested long after string has gone limp.",,TRUE,TRUE,https://link.amazon/B0jbQ32E2,,,2,,TRUE,2026-07-18,
toy-wand-worm-string,Toys & enrichment,Toy,Wand toy,,Worm on extendable string,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.","A longer reach for cats who play hard, the squiggly worm is a big hit with the cats.",,TRUE,TRUE,https://link.amazon/B02hGivjm,,,1,,TRUE,2026-07-18,
wet-food-little-big-paw-duck,Food & feeding,Wet food,Wet food for adult cats,Little Big Paw,Duck mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality complete wet food with all essential nutrients for adult cats. Variety of protein.,Adult,TRUE,FALSE,https://link.amazon/B0aNffqUH,,,1,,TRUE,2026-07-18,
wet-food-little-big-paw-ocean-fish,Food & feeding,Wet food,Wet food for adult cats,Little Big Paw,Ocean fish mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality complete wet food with all essential nutrients for adult cats. Variety of protein.,Adult,TRUE,FALSE,https://link.amazon/B0dXRcWvJ,,,1,,TRUE,2026-07-15,
wet-food-nd-adult-chicken,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Chicken mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,TRUE,TRUE,https://supertails.com/products/matisse-chicken-mousse-adult-wet-cat-food?variant=40973470957741,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
wet-food-nd-adult-salmon,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Salmon mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,TRUE,TRUE,https://headsupfortails.com/products/farmina-matisse-wet-cat-food-salmon-mousse-85-g?variant=41040309649470,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
wet-food-nd-adult-sardine,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Sardine mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,TRUE,TRUE,https://headsupfortails.com/products/farmina-matisse-sardine-mousse-wet-cat-food-85-g?variant=41040311287870,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
wet-food-plate-glass,Food & feeding,Bowl/plate,Wet food plate,,Glass (6 inch),"Hygenic: Easy-to-clean, non-porous and odour-resistant
Shallow: No whisker fatigue
Requires care: Fragile & breakable","Shallow and wide, so a cat can eat without pressing their whiskers into the sides of the dish.",,TRUE,FALSE,https://link.amazon/B0gkkI6Dr,,,1,1,TRUE,2026-07-15,click real pictures
wet-food-plate-steel,Food & feeding,Bowl/plate,Wet food plate,,Steel (6 inch),"Hygenic: Easy-to-clean, non-porous and odour-resistant
Shallow: No whisker fatigue
Sturdy: Long life","Shallow and wide, so a cat can eat without pressing their whiskers into the sides of the dish.",,TRUE,TRUE,https://link.amazon/B093XVbJx,,,2,2,TRUE,2026-07-18,
wet-food-bowl-steel,Food & feeding,Bowl/plate,Pet food bowl,,Steel (6 inch),"Hygenic: Easy-to-clean, non-porous and odour-resistant
Deep enough for dry food
Sturdy: Long life","Shallow and wide, so a cat can eat without pressing their whiskers into the sides of the dish.",,FALSE,FALSE,https://headsupfortails.com/products/huft-whiskerlicks-classic-steel-bowl-for-cat?,utm_source=whiskerwise&utm_medium=curated-essentials,,2,3,TRUE,2026-07-24,
wet-food-royal-canin-adult-instinctive-chunks,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality and formulated by specialists with complete essential nutrients required for adult cats. Sensible fallback when the usual one is unavailable.,Adult,FALSE,FALSE,https://link.amazon/A06vu9Tg6,,,2,,TRUE,2026-07-18,
wet-food-royal-canin-adult-instinctive-loaf,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Loaf/Mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",High quality and formulated by specialists with complete essential nutrients required for adult cats. Sensible fallback when the usual one is unavailable.,Adult,FALSE,FALSE,https://link.amazon/B0j8STz3G,,,2,,TRUE,2026-07-18,https://supertails.com/products/little-big-paw-ocean-fish-mousse-wet-cat-food-pack-of-8
wet-food-royal-canin-adult-sterlised,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists with lower calories (relative to other variants).",High quality and formulated by specialists with complete essential nutrients required for adult cats. ,Adult,FALSE,FALSE,https://link.amazon/A0ft5Qfmn,,,2,,TRUE,2026-07-18,
wet-food-royal-canin-baby-kitten,Food & feeding,Wet food,Kitten milk replacer,Royal Canin,,"Complete with all essential nutrients for baby kittens, from birth-8 weeks or for weaning to kitten wet food.",High quality and cat-appropriate replacement for mother's milk for orphaned kittens 0-4 weeks old.,Kitten,TRUE,FALSE,https://amzn.in/d/032WBZj6,,,3,,TRUE,2026-07-18,
wet-food-royal-canin-kitten-chunks,Food & feeding,Wet food,Wet food for kittens,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.","High quality and formulated by specialists with complete essential nutrients required for kittens (1-12 months). 
For kittens who like a bite.",Kitten,TRUE,TRUE,https://link.amazon/B0eeFXiv2,,,3,,TRUE,2026-07-18,
wet-food-royal-canin-kitten-loaf,Food & feeding,Wet food,Wet food for kittens,Royal Canin,Loaf/Mousse,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.","High quality and formulated by specialists with complete essential nutrients required for kittens (1-12 months). 
For kittens who like it smooth.",Kitten,TRUE,TRUE,https://link.amazon/B06nub4zF,,,3,,TRUE,2026-07-18,
