id,item_category,item_type,title,brand,variant,description,life_stage,active,in_starter_kit,buy_url,source_suffix,image_url,image_count,sort,verified,date_added,comments
toy-wand-worm-string,Toys & enrichment,Toy,Wand toy,,Worm on extendable string,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.",,TRUE,TRUE,https://link.amazon/B02hGivjm,,,1,,TRUE,2026-07-18,
toy-wand-feather-wire,Toys & enrichment,Toy,Wand toy,,Feather on wire,"The best thing you can do is– play with your cat!
Experiment with toys (& gameplay) to see what your cat likes.",,TRUE,TRUE,https://link.amazon/B0jbQ32E2,,,2,,TRUE,2026-07-18,
wet-food-royal-canin-adult-instinctive-chunks,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,FALSE,FALSE,https://link.amazon/A06vu9Tg6,,,2,,TRUE,2026-07-15,
wet-food-royal-canin-adult-instinctive-loaf,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Loaf/Mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,FALSE,FALSE,https://link.amazon/B0j8STz3G,,,2,,TRUE,2026-07-18,
wet-food-royal-canin-adult-sterlised,Food & feeding,Wet food,Wet food for adult cats,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists with lower calories (relative to other variants).",Adult,FALSE,FALSE,https://link.amazon/A0ft5Qfmn,,,2,,TRUE,2026-07-18,
wet-food-nd-adult-chicken,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Chicken mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,TRUE,TRUE,https://supertails.com/products/matisse-chicken-mousse-adult-wet-cat-food?variant=40973470957741,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
wet-food-nd-adult-sardine,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Sardine mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,TRUE,TRUE,https://headsupfortails.com/products/farmina-matisse-sardine-mousse-wet-cat-food-85-g?variant=41040311287870,utm_source=whiskerwise&utm_medium=curated-essentials,,1,,TRUE,2026-07-18,
wet-food-nd-adult-salmon,Food & feeding,Wet food,Wet food for adult cats,Farmina N&D,Salmon mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,TRUE,TRUE,https://headsupfortails.com/products/farmina-matisse-wet-cat-food-salmon-mousse-85-g?variant=41040309649470,utm_source=whiskerwise&utm_medium=curated-essentials,,0,,TRUE,2026-07-18,
wet-food-little-big-paw-ocean-fish,Food & feeding,Wet food,Wet food for adult cats,Little Big Paw,Ocean fish mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,TRUE,FALSE,https://link.amazon/B0dXRcWvJ,,,1,,TRUE,2026-07-18,https://supertails.com/products/little-big-paw-ocean-fish-mousse-wet-cat-food-pack-of-8
wet-food-little-big-paw-duck,Food & feeding,Wet food,Wet food for adult cats,Little Big Paw,Duck mousse,"Complete with all essential nutrients for adult cats.
Formulated by nutritionists.",Adult,TRUE,FALSE,https://link.amazon/B0aNffqUH,,,1,,TRUE,2026-07-18,
wet-food-royal-canin-kitten-chunks,Food & feeding,Wet food,Wet food for kittens,Royal Canin,Chunks in gravy,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.",Kitten,TRUE,TRUE,https://link.amazon/B0eeFXiv2,,,3,,TRUE,2026-07-18,
wet-food-royal-canin-kitten-loaf,Food & feeding,Wet food,Wet food for kittens,Royal Canin,Loaf/Mousse,"Complete with all essential nutrients for growing kittens.
Formulated by nutritionists.",Kitten,TRUE,TRUE,https://link.amazon/B06nub4zF,,,0,,TRUE,2026-07-18,
wet-food-plate-steel,Food & feeding,Bowl/plate,Wet food plate,,Steel (6 inch),"Hygenic: Easy-to-clean, non-porous and odour-resistant
Shallow: No whisker fatigue
Sturdy: Long life",,TRUE,TRUE,https://link.amazon/B093XVbJx,,,2,,TRUE,2026-07-18,
wet-food-plate-glass,Food & feeding,Bowl/plate,Wet food plate,,Glass (6 inch),"Hygenic: Easy-to-clean, non-porous and odour-resistant
Shallow: No whisker fatigue
Requires care: Fragile & breakable",,TRUE,FALSE,https://link.amazon/B0gkkI6Dr,,,1,,TRUE,2026-07-15,click real pictures
